ಬಂದರುಗಳ	N__NN	NP
ಅಭಿವೃದ್ಧಿಯು	N__NN	NP
ವಾಹನಗಳ	N__NN	NP
ದಟ್ಟಣೆಯನ್ನು	N__NNV	NP
ಬಹುವಾಗಿ	RB	RBP
ಹೆಚ್ಚಿಸಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಅಗಲವಾದ	JJ	NP
ರಸ್ತೆ	N__NN	NP
,	RD__PUNC	NP
ಸುರಕ್ಷಿತ	JJ	NP
ಪ್ರಯಾಣ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ದಟ್ಟಣೆ	N__NNV	NP
ನಿವಾರಣೆಯ	N__NNV	NP
ಮುಖ್ಯ	JJ	NP
ಉದ್ದೇಶಗಳ	N__NN	NP
ಒಂದಿಗೆ	RP__RPD	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸಲು	V__VM__VINF	VGINF
ಹೆದ್ದಾರಿ	JJ	NP
ಇಲಾಖೆಯ	N__NN	NP
ಮೂಲಕ	RP__RPD	NP
ರಸ್ತೆ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಸೇತುವೆ	N__NN	NP
ರಚನೆಗಳನ್ನು	N__NN	NP
ನವೀಕರಿಸಲು	V__VM__VF	VGF
ಆಗುತ್ತದೆ	V__VAUX	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡು	N__NNP	NP
ಒಟ್ಟು	QT__QTF	NP
1,30,058	QT__QTC	NP
ಚ.ಕಿ.ಮೀ.	RP__CL	NP
ವಿಸ್ತೀರ್ಣವನ್ನು	N__NN	NP
ಹೊಂದಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಇದರಲ್ಲಿ	DM__DMD	NP
ಸುಮಾರು	JJ	NP
1,99,040	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಉದ್ದದ	N__NN	NP
ರಸ್ತೆಗಳು	N__NN	NP
ಇವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಇವುಗಳಲ್ಲಿ	DM__DMD	NP
61,641	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಉದ್ದದ	N__NN	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಕೇಂದ್ರ	JJ	JJP
ಮತ್ತು	CC__CCD	CCP
ರಾಜ್ಯ	JJ	NP
ಹೆದ್ದಾರಿ	N__NN	NP
ಇಲಾಖೆಯು	N__NN	NP
ನಿರ್ವಹಿಸುತ್ತವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ರಸ್ತೆಗಳ	N__NN	NP
ವಿಧಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಅವುಗಳ	PR__PRP	NP
ಉದ್ದ	N__NN	NP
:	RD__PUNC	NP
ಇದು	DM__DMD	NP
ಅಲ್ಲದೆ	CC__CCS	CCP
,	RD__PUNC	CCP
ಸ್ಥಳೀಯ	JJ	NP
ಸಂಸ್ಥೆಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಇತರ	JJ	NP
ಇಲಾಖೆಗಳು	N__NN	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ನಿರ್ವಹಿಸುತ್ತವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಭಾರತದಲ್ಲಿ	N__NNP	NP
,	RD__PUNC	NP
ಪ್ರತಿ	JJ	NP
ಒಂದು	QT__QTC	NP
ಲಕ್ಷ	QT__QTC	NP
ಜನಸಂಖ್ಯೆಗೆ	N__NN	NP
ಸರಾಸರಿ	JJ	NP
329	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ರಸ್ತೆಯ	N__NN	NP
ಮೂಲ	JJ	NP
ಸೌಕರ್ಯ	N__NN	NP
ಸೌಲಭ್ಯಗಳು	N__NN	NP
ಲಭ್ಯ	N__NN	NP
ಇವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನಲ್ಲಿ	N__NNP	NP
ಪ್ರತಿ	JJ	NP
ಒಂದು	QT__QTC	NP
ಲಕ್ಷ	QT__QTC	NP
ಜನಸಂಖ್ಯೆಗೆ	N__NN	NP
319	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಉದ್ದದ	N__NN	NP
ರಸ್ತೆ	JJ	NP
ಸೌಲಭ್ಯ	N__NN	NP
ಇದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಅಲ್ಲದೆ	CC__CCS	CCP
,	RD__PUNC	CCP
ಪ್ರತಿ	JJ	NP
100	QT__QTC	NP
ಚ.ಕಿ.ಮೀ.	RP__CL	NP
ಪ್ರದೇಶದಲ್ಲಿ	N__NN	NP
,	RD__PUNC	NP
ಪ್ರಸ್ತುತ	JJ	JJP
ಭಾರತದ	N__NNP	NP
ಸರಾಸರಿ	N__NN	NP
ಪರಿಮಾಣ	N__NN	NP
103	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಗಳಿಗಿಂತ	PSP	NP
ತಮಿಳುನಾಡಿನಲ್ಲಿ	N__NNP	NP
153	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಉದ್ದದ	N__NN	NP
ರಸ್ತೆಗಳು	N__NN	NP
ಇವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನಲ್ಲಿ	N__NNP	NP
ರಸ್ತೆ	N__NN	NP
ಮೂಲ	JJ	NP
ಸೌಕರ್ಯಗಳ	N__NN	NP
ಉತ್ತಮ	JJ	NP
ಅಭಿವೃದ್ಧಿಗೆ	N__NN	NP
ಇದು	DM__DMD	NP
ಸಾಕ್ಷಿ	N__NN	NP
ಆಗಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಕರಾವಳಿಯ	N__NN	NP
ಉದ್ದ	N__NN	NP
1076	QT__QTC	NP
ಕಿ.ಮೀ.	RP__CL	NP
ಆಗಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಇದು	DM__DMD	NP
ಚೆನ್ನೈ	N__NNP	NP
,	RD__PUNC	NP
ಎನ್ನೂರ್	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ತೂತುಕುಡಿ	N__NNP	NP
ಎಂಬ	CC__CCS	CCP
3	QT__QTC	NP
ಪ್ರಮುಖ	JJ	NP
ಬಂದರುಗಳನ್ನು	N__NN	NP
ಹೊಂದಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
2006ನೇ	QT__QTO	NP
ವರ್ಷದಲ್ಲಿ	N__NN	NP
15	QT__QTC	NP
ಸಣ್ಣ	JJ	NP
ಬಂದರುಗಳು	N__NN	NP
ಇದ್ದವು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಈ	DM__DMD	NP
ಸರ್ಕಾರದ	N__NN	NP
ಉತ್ಸಾಹದ	JJ	NP
ಪ್ರಯತ್ನದಿಂದ	N__NN	NP
ಆಗಿ	RP__RPD	NP
ಅವು	DM__DMD	NP
20	QT__QTC	NP
ಸಣ್ಣ	JJ	NP
ಬಂದರುಗಳಿಗೆ	N__NN	NP
ಹೆಚ್ಚಿವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
1963ರ	N__NN	NP
ಬಂದರು	N__NN	NP
ಕಾಯಿದೆಯ	N__NN	NP
ಅನ್ವಯ	RP__RPD	NP
ಸ್ಥಾಪಿಸಲು	V__VM__VINF	VGINF
ಆದ	V__VAUX	VGINF
,	RD__PUNC	VGINF
ದೊಡ್ಡ	JJ	NP
ಬಂದರುಗಳು	N__NN	NP
ಕೇಂದ್ರ	JJ	NP
ಸರ್ಕಾರದ	N__NN	NP
ನಿಯಂತ್ರಣದಲ್ಲಿ	N__NN	NP
ಇವೆ	V__VM__VF	VGF
ಮತ್ತು	CC__CCS	CCP
1908ರ	N__NN	NP
ಬಂದರುಗಳ	N__NN	NP
ಕಾಯಿದೆಯ	N__NN	NP
ಅನ್ವಯ	RP__RPD	NP
ಇರುವ	V__VM__VNG	VGNN
,	RD__PUNC	VGNN
ಸಣ್ಣ	JJ	NP
ಬಂದರುಗಳು	N__NN	NP
ರಾಜ್ಯ	JJ	NP
ಸರ್ಕಾರದ	N__NN	NP
ನಿಯಂತ್ರಣದಲ್ಲಿ	N__NN	NP
ಇವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಸಣ್ಣ	JJ	NP
ಬಂದರುಗಳ	N__NN	NP
ನಿರ್ವಹಣೆ	N__NNV	NP
ಮತ್ತು	CC__CCD	CCP
ನಿಯಂತ್ರಣಕ್ಕೆ	N__NN	NP
ಸಂಬಂಧಿಸಿದ	V__VM__VNG	VGNN
ಕೆಲಸವನ್ನು	N__NN	NP
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಸರ್ಕಾರದ	N__NN	NP
ಸಣ್ಣ	JJ	NP
ಬಂದರು	N__NN	NP
ಇಲಾಖೆಯು	N__NN	NP
ನಡೆಸುತ್ತದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ತಮಿಳುನಾಡು	N__NNP	NP
ಕಡಲ	N__NN	NP
ಮಂಡಳಿ	N__NN	NP
ಕಾಯಿದೆ	N__NN	NP
,	RD__PUNC	NP
1995ರ	N__NN	NP
ಅಡಿಯಲ್ಲಿ	RP__RPD	NP
18.03.1997	N__NNP	NP
ರಂದು	PSP	NP
ತಮಿಳುನಾಡು	N__NNP	NP
ಕಡಲ	N__NN	NP
ಮಂಡಳಿಯನ್ನು	N__NN	NP
ರಚಿಸಲು	V__VM__VF	VGF
ಆಯಿತು	V__VAUX	VGF
.	RD__PUNC	BLK
16.09.1998	N__NNP	NP
ರಂದು	PSP	NP
ತೂತುಕುಡಿಯಲ್ಲಿ	N__NNP	NP
ಸ್ಥಾಪಿಸಲು	V__VM__VINF	VGINF
ಆದ	V__VAUX	VGINF
,	RD__PUNC	VGINF
ತಮಿಳುನಾಡು	N__NNP	NP
ಕಡಲ	N__NN	NP
ತರಬೇತಿ	N__NN	NP
ಸಂಸ್ಥೆ	N__NN	NP
,	RD__PUNC	NP
ಸರ್ಕಾರಿ	JJ	NP
ಆದೇಶ	N__NN	NP
ಸಂಖ್ಯೆ	N__NN	NP
196	QT__QTC	NP
,	RD__PUNC	NP
01.08.2008	N__NNP	NP
ಹೆದ್ದಾರಿಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಸಣ್ಣ	JJ	NP
ಬಂದರು	N__NN	NP
ಇಲಾಖೆಯಂತೆ	N__NN	NP
,	RD__PUNC	NP
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಕಡಲ	JJ	NP
ಮಂಡಳಿಯ	N__NN	NP
ನಿಯಂತ್ರಣದಲ್ಲಿ	N__NN	NP
ಕಾರ್ಯವನ್ನು	N__NN	NP
ನಿರ್ವಹಿಸುತ್ತಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಪೂಂಪುಹಾರ್	N__NNP	NP
ಶಿಪ್ಪಿಂಗ್	N__NNP	NP
ಕಾರ್ಪೊರೇಶನ್	N__NNP	NP
ಅನ್ನು	PSP	NP
11.04.1974	N__NNP	NP
ರಂದು	PSP	NP
ಕಂಪನಿಗಳ	N__NN	NP
ಕಾಯಿದೆ	N__NN	NP
1956ರ	N__NN	NP
ಅಡಿಯಲ್ಲಿ	RP__RPD	NP
,	RD__PUNC	NP
ತಮಿಳುನಾಡು	N__NNP	NP
ವಿದ್ಯುತ್	JJ	NP
ಮಂಡಳಿ	N__NN	NP
ಒಡೆತನದ	N__NN	NP
ಉಷ್ಣ	JJ	NP
ವಿದ್ಯುತ್	N__NN	NP
ಸ್ಥಾವರಗಳಿಗೆ	N__NN	NP
ಅಗತ್ಯ	N__NN	NP
ಇರುವ	V__VM__VNG	VGNN
ಕಲ್ಲಿದ್ದಲನ್ನು	N__NN	NP
ಸಮುದ್ರದ	N__NN	NP
ಮೂಲಕ	RP__RPD	NP
ಸರಬರಾಜು	N__NN	NP
ಮಾಡಲು	V__VM__VINF	VGINF
ಸ್ಥಾಪಿಸಲು	V__VM__VF	VGF
ಆಯಿತು	V__VAUX	VGF
.	RD__PUNC	BLK
ನಿಗಮವು	N__NN	NP
ಹಲ್ದಿಯಾ	N__NNP	NP
,	RD__PUNC	NP
ಪರದೀಪ್	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ವಿಶಾಖಪಟ್ಟಣಂ	N__NNP	NP
ಬಂದರುಗಳಿಂದ	N__NN	NP
ಎಂ.	N__NNP	NP
ವಿ.	N__NNP	NP
ತಮಿಳು	N__NNP	NP
ಅಣ್ಣಾ	N__NNP	NP
,	RD__PUNC	NP
ಎಂ.	N__NNP	NP
ವಿ.	N__NNP	NP
ತಮಿಳು	N__NNP	NP
ಪೆರಿಯಾರ್	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ಎಂ.	N__NNP	NP
ವಿ.	N__NNP	NP
ತಮಿಳು	N__NNP	NP
ಕಾಮರಾಜ್	N__NNP	NP
ಅವರು	PR__PRP	NP
ಮೂರು	QT__QTC	NP
ಸ್ವಂತ	JJ	NP
ಹಡಗುಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಚಾರ್ಟರ್ಡ್	JJ	NP
ಹಡಗುಗಳ	N__NN	NP
ಮೂಲಕ	RP__RPD	NP
ಎನ್ನೂರ್	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ತೂತುಕುಡಿ	N__NNP	NP
ಬಂದರುಗಳಲ್ಲಿ	N__NN	NP
ಕಲ್ಲಿದ್ದಲನ್ನು	N__NN	NP
ತುಂಬಿಸುತ್ತಾರೆ	V__VM__VF	VGF
ಮತ್ತು	CC__CCS	CCP
ಇಳಿಸುತ್ತಾರೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಜೊತೆಗೆ	CC__CCS	CCP
,	RD__PUNC	CCP
ಕುಮಾರಿ	N__NNP	NP
ಮುನೈನಿಂದ	N__NNP	NP
ವಿವೇಕಾನಂದ	N__NNP	NP
ಸ್ಮಾರಕ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಅಯ್ಯನ್	N__NNP	NP
ತಿರುವಳ್ಳುವರ್	N__NNP	NP
ಪ್ರತಿಮೆಗೆ	N__NN	NP
ದೋಣಿ	N__NN	NP
ಸೇವೆಯನ್ನು	N__NN	NP
ಶ್ರೀಮತಿ	N__NNP	NP
ಎಲ್.	N__NNP	NP
ಕುಗನ್.	N__NNP	NP
,	RD__PUNC	NP
ಎಂ.	N__NNP	NP
ಎಲ್.	N__NNP	NP
ಪ್ಯಾಕೇಜ್	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ಎಂ.	N__NNP	NP
ಎಲ್.	N__NNP	NP
ಭಾಗೀರಥಿ	N__NNP	NP
ಅಂತಹ	RP__RPD	NP
ಮೂರು	QT__QTC	NP
ವಿಹಾರ	JJ	NP
ನೌಕೆಗಳು	N__NN	NP
ನಿರ್ವಹಿಸುತ್ತವೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ನೀತಿ	N__NN	NP
ವ್ಯಾಖ್ಯಾನ	N__NN	NP
.	RD__PUNC	BLK
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಮಾನ್ಯ	JJ	NP
ಮುಖ್ಯಮಂತ್ರಿ	N__NN	NP
ಡಾ.	N__NN	NP
ಕಲೈಂಗಾರ್	N__NNP	NP
ನೇತೃತ್ವದ	N__NN	NP
ಸರ್ಕಾರವು	N__NN	NP
ತಮಿಳುನಾಡಿನ	N__NNP	NP
ಮೂಲ	JJ	NP
ಸೌಕರ್ಯಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸಲು	V__VM__VINF	VGINF
ಒತ್ತು	RB	RBP
ನೀಡಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ರಸ್ತೆ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಸೇತುವೆಯ	N__NN	NP
ಮೂಲ	JJ	NP
ಸೌಕರ್ಯವನ್ನು	N__NN	NP
ಸುಧಾರಿಸಲು	V__VM__VINF	VGINF
ಏಪ್ರಿಲ್	N__NNP	NP
1946ರಲ್ಲಿ	N__NN	NP
ಹೆದ್ದಾರಿಗಳಿಗೆ	N__NN	NP
ಆಗಿ	RP__RPD	NP
ಪ್ರತ್ಯೇಕ	JJ	NP
ವಿಭಾಗವನ್ನು	N__NN	NP
ಸ್ಥಾಪಿಸಲು	V__VM__VF	VGF
ಆಯಿತು	V__VAUX	VGF
.	RD__PUNC	BLK
ಹೆಚ್ಚುತ್ತ	V__VM__VNF	VGNF
ಇರುವ	V__VAUX	VGNF
ವಾಹನಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ರಸ್ತೆ	N__NN	NP
ಬಳಕೆದಾರರ	N__NN	NP
ಅಗತ್ಯಗಳನ್ನು	N__NN	NP
ಪೂರೈಸುವ	V__VM__VNG	VGNN
ಸಲುವಾಗಿ	RP__RPD	VGNN
,	RD__PUNC	VGNN
ಹೆದ್ದಾರಿ	JJ	NP
ಇಲಾಖೆಯು	N__NN	NP
ಭಾರತೀಯ	JJ	NP
ರಸ್ತೆಗಳ	N__NN	NP
ಶಿಷ್ಟಾಚಾರಕ್ಕೆ	N__NN	NP
ಅನುಗುಣವಾಗಿ	RB	RBP
ರಸ್ತೆ	N__NN	NP
ಸುಧಾರಣೆ	N__NNV	NP
ಯೋಜನೆಗಳನ್ನು	N__NN	NP
ಜಾರಿಗೊಳಿಸುತ್ತಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಇಲಾಖೆಯನ್ನು	N__NN	NP
2008ರಿಂದ	N__NN	NP
ಹೆದ್ದಾರಿಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಸಣ್ಣ	JJ	NP
ಬಂದರುಗಳ	N__NN	NP
ಇಲಾಖೆ	N__NN	NP
ಎಂದು	CC__CCS	CCP
ಮರು	JJ	NP
ನಾಮಕರಣ	N__NN	NP
ಮಾಡಲು	V__VM__VINF	VGINF
ಆಗಿ	V__VAUX	VGINF
ಇದ್ದು	V__VAUX	VGINF
,	RD__PUNC	VGINF
ಸರ್ಕಾರವು	N__NN	NP
ಈ	DM__DMD	NP
ವಲಯಕ್ಕೆ	N__NN	NP
ಈ	DM__DMD	NP
ಕೆಳಗಿನ	N__NST	NP
ಇಪ್ಪತ್ತು	QT__QTC	NP
ನೀತಿಗಳನ್ನು	N__NN	NP
ರೂಪಿಸಿದೆ	V__VM__VF	VGF
.	RD__PUNC	BLK
ಎಲ್ಲಾ	JJ	NP
ರಾಜ್ಯ	JJ	NP
ಹೆದ್ದಾರಿಗಳನ್ನು	N__NN	NP
(	RD__SYM	FRGP
SH	RD__RDF	FRGP
)	RD__SYM	FRGP
ಕನಿಷ್ಠ	JJ	NP
ದ್ವಿ	QT__QTC	NP
ಪಥ	N__NN	NP
ಆಗಿ	RP__RPD	NP
(	RD__SYM	NP
7	QT__QTC	NP
ಮೀ.	RP__CL	NP
ಅಗಲ	N__NN	NP
)	RD__SYM	NP
ಮಾಡುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಸಾರಿಗೆ	N__NN	NP
ದಟ್ಟಣೆ	N__NNV	NP
ಅಧಿಕ	RB	RBP
ಇರುವ	V__VM__VNG	VGNN
ಜಿಲ್ಲಾ	JJ	NP
ಮುಖ್ಯ	JJ	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
(	RD__SYM	FRAGP
MDR	RD__RDF	FRAGP
)	RD__SYM	FRAGP
ಕನಿಷ್ಠ	JJ	NP
ಮಧ್ಯ	N__NST	NP
ಮಾರ್ಗದಲ್ಲಿ	N__NN	NP
ಅಗಲಗೊಳಿಸುವುದು	V__VM__VF	VGF
(	RD__SYM	NP
5.50	QT__QTC	NP
ಮೀ.	RP__CL	NP
ಅಗಲ	N__NN	NP
)	RD__SYM	NP
.	RD__PUNC	BLK
ಸಾರಿಗೆಯ	N__NN	NP
ದಟ್ಟಣೆಯು	N__NNV	NP
ಹೆಚ್ಚಾಗಿ	RB	RBP
ಇರುವಲ್ಲಿ	V__VM__VNG	VGNN
ಅಗತ್ಯ	N__NN	NP
ಇರುವ	V__VM__VNG	VGNN
ಇತರ	JJ	NP
ಜಿಲ್ಲಾ	JJ	NP
ರಸ್ತೆಗಳ	N__NN	NP
(	RD__SYM	NP
ಒಡಿಆರ್‌	N__NNP	NP
)	RD__SYM	NP
ಮಧ್ಯ	N__NST	NP
ಮಾರ್ಗವನ್ನು	N__NN	NP
ಹಂತಹಂತವಾಗಿ	RB	RBP
ಅಗಲಗೊಳಿಸುವುದು	V__VM__VF	VGF
(	RD__SYM	NP
5.50	QT__QTC	NP
ಮೀ.	RP__CL	NP
ಅಗಲ	N__NN	NP
)	RD__SYM	NP
.	RD__PUNC	BLK
ಅತೀ	RP__INTF	RBP
ಭಾರ	RB	RBP
ಹೊರುವ	V__VM__VNG	VGNN
ವಾಹನಗಳು	N__NN	NP
ಹಾದು	V__VM__VNG	VGNN
ಹೋಗಲು	V__VAUX	VGNN
ಆಗುವ	V__VM__VNG	VGNN
ಖನಿಜ	JJ	NP
ಗಣಿಗಳಿಗೆ	N__NN	NP
ಹೋಗುವ	V__VM__VNG	VGNN
ರಸ್ತೆಗಳ	N__NN	NP
ಪತ್ತೆ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ದೃಢೀಕರಣ	N__NN	NP
.	RD__PUNC	BLK
ಆದಿದ್ರಾವಿಡರು	N__NNP	NP
ಮತ್ತು	CC__CCD	CCP
ಬುಡಕಟ್ಟು	JJ	NP
ವಸತಿಗಳನ್ನು	N__NN	NP
ಸಂಪರ್ಕಿಸುವ	V__VM__VNG	VGNN
ಸರ್ಕಾರಿ	JJ	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಸಂಚಾರದ	N__NN	NP
ದಟ್ಟಣೆಯನ್ನು	N__NNV	NP
ಕಡಿಮೆ	RB	RBP
ಮಾಡಲು	V__VM__VINF	VGINF
ಬೀರುಗೆರೆ	JJ	NP
ರಸ್ತೆಗಳು	N__NN	NP
,	RD__PUNC	NP
ವರ್ತುಲ	JJ	NP
ರಸ್ತೆಗಳು	N__NN	NP
,	RD__PUNC	NP
ಹೊರ	N__NST	NP
ವಲಯದ	N__NN	NP
ರಸ್ತೆಗಳ	N__NN	NP
ನಿರ್ಮಾಣ	N__NN	NP
.	RD__PUNC	BLK
ಕಾರ್ಖಾನೆಗಳು	N__NN	NP
ಇರುವ	V__VM__VNG	VGNN
ಕೈಗಾರಿಕಾ	JJ	NP
ಪ್ರದೇಶಗಳಿಗೆ	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಹೊಸ	JJ	NP
ಕೈಗಾರಿಕಾ	JJ	NP
ಪ್ರದೇಶಗಳಿಗೆ	N__NN	NP
ಹೋಗುವ	V__VM__VNG	VGNN
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಕೈಗಾರಿಕಾ	JJ	NP
ರಸ್ತೆಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಬಂದರುಗಳ	N__NN	NP
ನಡುವಿನ	N__NST	NP
ಸಂಪರ್ಕವನ್ನು	N__NN	NP
ಸುಧಾರಿಸುವುದು	V__VM__VF	VGF
,	RD__PUNC	BLK
ಆ	DM__DMD	NP
ಮೂಲಕ	RP__RPD	NP
ಕೈಗಾರಿಕಾ	JJ	NP
ಬೆಳವಣಿಗೆಯನ್ನು	N__NNV	NP
ಉತ್ತೇಜಿಸುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಜನ	N__NN	NP
ಸಾಮಾನ್ಯರ	N__NN	NP
ಅನುಕೂಲಕ್ಕೆ	N__NN	NP
ಪ್ರವಾಸಿ	JJ	JJP
ಮತ್ತು	CC__CCD	CCP
ಪೂಜಾ	JJ	NP
ಸ್ಥಳಗಳಿಗೆ	N__NN	NP
ಹೋಗುವ	V__VM__VNG	VGNN
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಸಾರ್ವಜನಿಕ	JJ	NP
-	RD__SYM	NP
ಖಾಸಗಿ	JJ	NP
ಸಹಭಾಗಿತ್ವದ	N__NN	NP
ಮೂಲಕ	RP__RPD	NP
ಹೆಚ್ಚಿನ	JJ	NP
ವಾಹನ	N__NN	NP
ದಟ್ಟಣೆಯ	N__NN	NP
ರಸ್ತೆಗಳನ್ನು	N__NN	NP
ಸುಧಾರಿಸುವುದು	V__VM__VF	VGF
.	RD__PUNC	BLK
ಪಾದಚಾರಿಗಳಿಗೆ	N__NN	NP
ಅಗತ್ಯ	N__NN	NP
ಇರುವ	V__VM__VNG	VGNN
ರಸ್ತೆಯನ್ನು	N__NN	NP
ದಾಟಲು	V__VM__VINF	VGINF
ಸುರಂಗ	JJ	NP
ಮಾರ್ಗಗಳು	N__NN	NP
ಮತ್ತು	CC__CCD	CCP
ಎತ್ತರದ	JJ	NP
ಪಾದಚಾರಿ	N__NN	NP
ಮಾರ್ಗಗಳ	N__NN	NP
ನಿರ್ಮಾಣ	N__NN	NP
.	RD__PUNC	BLK
ರಸ್ತೆ	N__NN	NP
ಬದಿಯಲ್ಲಿ	N__NST	NP
ಇರುವ	V__VM__VNG	VGNN
ಮರಗಳ	N__NN	NP
