en	sentence1	sentence2	label
the police has registered a case against her husband rakesh kumar, brother-in-law manoj kumar, sister-in-law harjinder kaur, santosh kaur and mohinder singh.	ಆಕೆಯ ಗಂಡ ರಾಕೇಶ್ ಕುಮಾರ್, ಮೈದುನ ಮನೋಜ್ ಕುಮಾರ್, ನಾದಿನಿ  ಹರ್ಜಿಂದರ್ ಕೌರ್, ಸಂತೋಷ್ ಕೌರ್ ಮತ್ತು ಮೊಹಿಂದರ್ ಸಿಂಗ್ ವಿರುದ್ಧ ಪೊಲೀಸರು ಪ್ರಕರಣ ದಾಖಲಿಸಿಕೊಂಡಿದ್ದಾರೆ.	ಅವಳ ಗಂಡ ರಾಕೇಶ್ ಕುಮಾರ್, ಮೈದುನ ಮನೋಜ್ ಕುಮಾರ್, ನಾದಿನಿ  ಹರ್ಜಿಂದರ್ ಕೌರ್, ಸಂತೋಷ್ ಕೌರ್ ಮತ್ತು ಮೊಹಿಂದರ್ ಸಿಂಗ್ ವಿರುದ್ಧ ಪೊಲೀಸರು ಈ ಸಂಗತಿಯನ್ನು ನೊಂದಾಯಿಸಿಕೊಂಡಿದ್ದಾರೆ.	1
the police has registered a case against her husband rakesh kumar, brother-in-law manoj kumar, sister-in-law harjinder kaur, santosh kaur and mohinder singh.	ಆಕೆಯ ಗಂಡ ರಾಕೇಶ್ ಕುಮಾರ್, ಮೈದುನ ಮನೋಜ್ ಕುಮಾರ್, ನಾದಿನಿ  ಹರ್ಜಿಂದರ್ ಕೌರ್, ಸಂತೋಷ್ ಕೌರ್ ಮತ್ತು ಮೊಹಿಂದರ್ ಸಿಂಗ್ ವಿರುದ್ಧ ಪೊಲೀಸರು ಪ್ರಕರಣ ದಾಖಲಿಸಿಕೊಂಡಿದ್ದಾರೆ.	ಆಕೆಯ ಪತಿ ರಾಕೇಶ್ ಕುಮಾರ್, ಮೈದುನ ಮನೋಜ್ ಕುಮಾರ್, ನಾದಿನಿ  ಹರ್ಜಿಂದರ್ ಕೌರ್, ಸಂತೋಷ್ ಕೌರ್ ಮತ್ತು ಮೊಹಿಂದರ್ ಸಿಂಗ್ ವಿರುದ್ಧ ಪೊಲೀಸರು ಪ್ರಕರಣ ದಾಖಲಿಸಿಕೊಂಡಿಲ್ಲ.	0
the first two tests of the four-match series between india and england will be played in chennai.	ಭಾರತ ಮತ್ತು ಇಂಗ್ಲೆಂಡ್ ನಡುವಿನ ನಾಲ್ಕು ಪಂದ್ಯಗಳ ಟೆಸ್ಟ್ ಸರಣಿಯ ಮೊದಲ ಎರಡು ಪಂದ್ಯಗಳು ಚೆನ್ನೈನಲ್ಲಿ ನಡೆಯಲಿದೆ.	ಇಂಗ್ಲೆಂಡ್  ಮತ್ತು ಭಾರತದ ನಡುವಿನ ಟೆಸ್ಟ್ ಸರಣಿಯ  ನಾಲ್ಕು ಪಂದ್ಯಗಳನ್ನು ಹೊಂದಿದ್ದು  ಮೊದಲ ಎರಡು ಪಂದ್ಯಗಳನ್ನು ಚೆನ್ನೈನಲ್ಲಿ ಆಡಲಾಗುತ್ತದೆ.	1
the first two tests of the four-match series between india and england will be played in chennai.	ಭಾರತ ಮತ್ತು ಇಂಗ್ಲೆಂಡ್ ನಡುವಿನ ನಾಲ್ಕು ಪಂದ್ಯಗಳ ಟೆಸ್ಟ್ ಸರಣಿಯ ಮೊದಲ ಎರಡು ಪಂದ್ಯಗಳು ಚೆನ್ನೈನಲ್ಲಿ ನಡೆಯಲಿದೆ.	ಭಾರತ ಮತ್ತು ಚೆನ್ನೈನ ನಡುವಿನ ನಾಲ್ಕು ಪಂದ್ಯಗಳ ಟೆಸ್ಟ್ ಸರಣಿಯ ಮೊದಲ ಎರಡು ಪಂದ್ಯಗಳು  ಇಂಗ್ಲೆಂಡಿನಲ್ಲಿ ನಡೆಯಲಿದೆ.	0
india to host 2021 t20 wc, australia to organise event in 2022. icc women's wc 2021 shifted to 2022	ಭಾರತವು ೨೦೨೧ರ ಟಿ-೨೦ ವಿಶ್ವಕಪ್ ಆತಿಥ್ಯ  ವಹಿಸಲಿದೆ , ೨೦೨೨ರಲ್ಲಿ ಆಸ್ಟ್ರೇಲಿಯಾ ಸಂದರ್ಭವನ್ನು ಸಂಯೋಜಿಸಲಿದೆ . ಐಸಿಸಿ ಮಹಿಳಾ ವಿಶ್ವಕಪ್‌ ೨೦೨೧ನ್ನು ೨೦೨೨ಕ್ಕೆ ಮುಂದೂಡಲಾಗಿದೆ.	೨೦೨೧ರ ಟಿ-೨೦ ವಿಶ್ವಕಪ್ನ ಆತಿಥ್ಯವನ್ನು ಭಾರತವು ವಹಿಸಲಿದೆ ,  ಆಸ್ಟ್ರೇಲಿಯಾವು ೨೦೨೨ರಲ್ಲಿ ಪ್ರಸಂಗವನ್ನು ಆಯೋಜಿಸಿಲಿದೆ.  ೨೦೨೧ರಲ್ಲಿ ನಡೆಯಬೇಕಾದ ಐಸಿಸಿ ಮಹಿಳಾ ವಿಶ್ವಕಪ್‌ಅನ್ನು ೨೦೨೨ರಲ್ಲಿ ಆಯೋಜಿಸಲಾಗುವುದು .	1
india to host 2021 t20 wc, australia to organise event in 2022. icc women's wc 2021 shifted to 2022	ಭಾರತವು ೨೦೨೧ರ ಟಿ-೨೦ ವಿಶ್ವಕಪ್ ಆತಿಥ್ಯ  ವಹಿಸಲಿದೆ , ೨೦೨೨ರಲ್ಲಿ ಆಸ್ಟ್ರೇಲಿಯಾ ಸಂದರ್ಭವನ್ನು ಸಂಯೋಜಿಸಲಿದೆ . ಐಸಿಸಿ ಮಹಿಳಾ ವಿಶ್ವಕಪ್‌ ೨೦೨೧ನ್ನು ೨೦೨೨ಕ್ಕೆ ಮುಂದೂಡಲಾಗಿದೆ.	೨೦೨೨ರಲ್ಲಿ ನಡೆಯಬೇಕಾದ ಐಸಿಸಿ ಮಹಿಳಾ ವಿಶ್ವಕಪ್ನ  ಆತಿಥ್ಯವನ್ನು ಭಾರತವು ವಹಿಸಲಿದೆ ,  ಆಸ್ಟ್ರೇಲಿಯಾವು ೨೦೨೧ರಲ್ಲಿ ಪ್ರಸಂಗವನ್ನು ಆಯೋಜಿಸಿಲಿದೆ.  ೨೦೨೧ರ ಟಿ-೨೦ ವಿಶ್ವಕಪ್ ಅನ್ನು ೨೦೨೨ರಲ್ಲಿ ಆಯೋಜಿಸಲಾಗುವುದು .	0
the rake of the train was manufactured in the integral coach factory (icf) in chennai.	ರೈಲಿನ ರೇಕ್ ಅನ್ನು ಚೆನ್ನೈನ ಇಂಟಿಗ್ರಲ್ ಕೋಚ್ ಫ್ಯಾಕ್ಟರಿಯಲ್ಲಿ (ಐಸಿಎಫ್) ತಯಾರಿಸಲಾಗಿತ್ತು. 	ಚೆನ್ನೈನ ಇಂಟಿಗ್ರಲ್ ಕೋಚ್ ಫ್ಯಾಕ್ಟರಿಯಲ್ಲಿ (ಐಸಿಎಫ್) ರೈಲಿನ ರೇಕ್ ಅನ್ನು ತಯಾರಿಸಲಾಗಿತ್ತು. 	1
the rake of the train was manufactured in the integral coach factory (icf) in chennai.	ರೈಲಿನ ರೇಕ್ ಅನ್ನು ಚೆನ್ನೈನ ಇಂಟಿಗ್ರಲ್ ಕೋಚ್ ಫ್ಯಾಕ್ಟರಿಯಲ್ಲಿ (ಐಸಿಎಫ್) ತಯಾರಿಸಲಾಗಿತ್ತು. 	ಚೆನ್ನೈನ ಇಂಟಿಗ್ರಲ್ ಕೋಚ್ ಫ್ಯಾಕ್ಟರಿಯಲ್ಲಿ (ಐಸಿಎಫ್) ರೈಲಿನ ರೇಕ್ ಅನ್ನು ತಯಾರಿಸಲಾಗಿರಲಿಲ್ಲ.  	0
following this remark, bjp mp meenakshi lekhi had filed a contempt of court plea against rahul gandhi.	ಈ ಹೇಳಿಕೆಯ ನಂತರ, ಬಿ. ಜೆ. ಪಿ.ಯ ಎಂ. ಪಿ.ಯಾದ ಮೀನಾಕ್ಷಿ ಲೇಖಿ ಅವರು ರಾಹುಲ್ ಗಾಂಧಿ ವಿರುದ್ಧ ನ್ಯಾಯಾಂಗ ನಿಂದನೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದ್ದರು.	ಬಿ.ಜೆ.ಪಿಯ ಶಾಸಕರಾದ ಮೀನಾಕ್ಷಿ ಲೇಖಿ ರಾಹುಲ್‌ ಗಾಂಧಿಯವರ ಈ ಹೇಳಿಕೆಗಾಗಿ ಅವರ ವಿರುದ್ಧ ನ್ಯಾಯಾಲಯ ನಿಂದನೆಯ ಆರೋಪ ಮಾಡಿದರು.	1
following this remark, bjp mp meenakshi lekhi had filed a contempt of court plea against rahul gandhi.	ಈ ಹೇಳಿಕೆಯ ನಂತರ, ಬಿ. ಜೆ. ಪಿ.ಯ ಎಂ. ಪಿ.ಯಾದ ಮೀನಾಕ್ಷಿ ಲೇಖಿ ಅವರು ರಾಹುಲ್ ಗಾಂಧಿ ವಿರುದ್ಧ ನ್ಯಾಯಾಂಗ ನಿಂದನೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದ್ದರು.	ಈ ಹೇಳಿಕೆಯ ನಂತರ,  ರಾಹುಲ್ ಗಾಂಧಿ  ಅವರು  ಬಿ. ಜೆ. ಪಿ. ಎಂ. ಪಿ. ಮೀನಾಕ್ಷಿ ಲೇಖಿ ವಿರುದ್ಧ ನ್ಯಾಯಾಂಗ ನಿಂದನೆ ಅರ್ಜಿ ಸಲ್ಲಿಸಿದ್ದರು.	0
prime minister narendra modi announced a 21-day complete lockdown in the country to contain the spread of coronavirus.	ಕೊರೊನಾ ವೈರಸ್ನ  ಹರಡುವಿಕೆಯನ್ನು ತಡೆಗಟ್ಟಲು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ 21 ದಿನಗಳ  ಸಂಪೂರ್ಣ ಲಾಕ್ಡೌನ್ ಘೋಷಿಸಿದ್ದಾರೆ.	ಕೊರೊನಾ ವೈರಸ್ನ ಸಾಂಕ್ರಮಿಕವನ್ನು  ನಿಗ್ರಹಿಸಲು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ 21 ದಿನಗಳ  ಸಂಪೂರ್ಣ ಲಾಕ್ಡೌನ್  ವಿಧಿಸಿದ್ದಾರೆ.	1
prime minister narendra modi announced a 21-day complete lockdown in the country to contain the spread of coronavirus.	ಕೊರೊನಾ ವೈರಸ್ನ  ಹರಡುವಿಕೆಯನ್ನು ತಡೆಗಟ್ಟಲು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ 21 ದಿನಗಳ  ಸಂಪೂರ್ಣ ಲಾಕ್ಡೌನ್ ಘೋಷಿಸಿದ್ದಾರೆ.	ಕೊರೊನಾ ವೈರಸ್ನ  ಹರಡದಿರುವಿಕೆಯನ್ನು ತಡೆಗಟ್ಟಲು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ 21 ದಿನಗಳ  ಸಂಪೂರ್ಣ ಲಾಕ್ಡೌನ್ ಘೋಷಿಸಿದ್ದಾರೆ.	0
its 6gb + 64gb variant is priced at rs 14,999 and its 8gb + 128gb storage variant is priced at rs 16,999.	ಇದರ 6 ಜಿಬಿ + 64 ಜಿಬಿ ಬಗೆಯ ಬೆಲೆ 14,999 ರೂಪಾಯಿ ಮತ್ತು 8 ಜಿಬಿ + 128 ಜಿಬಿ ಸ್ಟೋರೇಜ್ ಬಗೆಯ ಬೆಲೆ 16,999 ರೂಪಾಯಿ.	ಇದರ 6 ಜಿಬಿ + 64 ಜಿಬಿ ಮಾದರಿಯು  14,999 ರೂಪಾಯಿ ಮೌಲ್ಯ ಹೊಂದಿದ್ದರೆ  8 ಜಿಬಿ + 128 ಜಿಬಿ ಸಂಗ್ರಹ ಮಾದರಿಯು   16,999 ರೂಪಾಯಿ ಮೌಲ್ಯ ಹೊಂದಿದೆ.	1
its 6gb + 64gb variant is priced at rs 14,999 and its 8gb + 128gb storage variant is priced at rs 16,999.	ಇದರ 6 ಜಿಬಿ + 64 ಜಿಬಿ ಬಗೆಯ ಬೆಲೆ 14,999 ರೂಪಾಯಿ ಮತ್ತು 8 ಜಿಬಿ + 128 ಜಿಬಿ ಸ್ಟೋರೇಜ್ ಬಗೆಯ ಬೆಲೆ 16,999 ರೂಪಾಯಿ.	ಇದರ 8 ಜಿಬಿ + 128 ಜಿಬಿ  ಬಗೆಯ ಬೆಲೆ 14,999 ರೂಪಾಯಿ ಮತ್ತು  6 ಜಿಬಿ + 64 ಜಿಬಿ ಸ್ಟೋರೇಜ್ ಬಗೆಯ ಬೆಲೆ 16,999 ರೂಪಾಯಿ.	0
after receiving the information about the incident, rajender nagar police rushed to the spot.	ಘಟನೆಯ ಮಾಹಿತಿ ತಿಳಿಯುತ್ತಿದ್ದಂತೆ ರಾಜೇಂದ್ರ ನಗರ  ಪೊಲೀಸರು ಸ್ಥಳಕ್ಕೆ ದೌಡಾಯಿಸಿದ್ದಾರೆ.	ರಾಜೇಂದ್ರ ನಗರ  ಪೊಲೀಸರು ಈ ಪ್ರಸಂಗದ ಸಮಾಚಾರ ತಿಳಿಯುತ್ತಿದ್ದಂತೆಯೇ ಸ್ಥಳಕ್ಕೆ ಧಾವಿಸಿದ್ದಾರೆ.	1
after receiving the information about the incident, rajender nagar police rushed to the spot.	ಘಟನೆಯ ಮಾಹಿತಿ ತಿಳಿಯುತ್ತಿದ್ದಂತೆ ರಾಜೇಂದ್ರ ನಗರ  ಪೊಲೀಸರು ಸ್ಥಳಕ್ಕೆ ದೌಡಾಯಿಸಿದ್ದಾರೆ.	ಸ್ಥಳಕ್ಕೆ ದೌಡಾಯಿಸುತ್ತಿದ್ದಂತೆ ರಾಜೇಂದ್ರ ನಗರ ಆರಕ್ಷಕರು ಘಟನೆಯ ಮಾಹಿತಿ ತಿಳಿದಿದ್ದಾರೆ.	0
on receipt of information, a large contingent of police arrived on the spot.	ವಿಷಯ ತಿಳಿಯುತ್ತಿದ್ದಂತೆ  ಪೊಲೀಸರ ಒಂದು ದೊಡ್ಡ ಗುಂಪು ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿತು.	ಮಾಹಿತಿ ದೊರೆಯುತ್ತಲೇ ಪೋಲಿಸರ ದೊಡ್ಡ ತಂಡವೊಂದು ಸ್ಥಾನವನ್ನು ತಲುಪಿತು.	1
on receipt of information, a large contingent of police arrived on the spot.	ವಿಷಯ ತಿಳಿಯುತ್ತಿದ್ದಂತೆ  ಪೊಲೀಸರ ಒಂದು ದೊಡ್ಡ ಗುಂಪು ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿತು.	ವಿಷಯ ತಿಳಿಯದೆಯೇ  ಪೊಲೀಸರ ಒಂದು ದೊಡ್ಡ ಗುಂಪು ಸ್ಥಳಕ್ಕೆ ಆಗಮಿಸಿತು.	0
former indian naval officer jadhav was sentenced to death by a military court in pakistan on the charges of spying.	ಭಾರತೀಯ ನೌಕಾಪಡೆಯ ಮಾಜಿ ಅಧಿಕಾರಿ ಜಾಧವ್ ಅವರಿಗೆ ಪಾಕಿಸ್ತಾನದ ಮಿಲಿಟರಿ ಕೋರ್ಟ್ ಬೇಹುಗಾರಿಕೆ ಆರೋಪದ ಮೇಲೆ ಗಲ್ಲು ಶಿಕ್ಷೆ ವಿಧಿಸಿತು.	ಬೇಹುಗಾರಿಕೆ ಆರೋಪದ ಮೇಲೆ ಪಾಕಿಸ್ತಾನದ ಮಿಲಿಟರಿ ಕೋರ್ಟ್ನಿಂದ ಗಲ್ಲು ಶಿಕ್ಷೆ ಪಡೆದ ಜಾಧವ್‌ ಅವರು ಭಾರತೀಯ ನೌಕಾಪಡೆಯ ಮಾಜಿ ಅಧಿಕಾರಿ.	1
former indian naval officer jadhav was sentenced to death by a military court in pakistan on the charges of spying.	ಭಾರತೀಯ ನೌಕಾಪಡೆಯ ಮಾಜಿ ಅಧಿಕಾರಿ ಜಾಧವ್ ಅವರಿಗೆ ಪಾಕಿಸ್ತಾನದ ಮಿಲಿಟರಿ ಕೋರ್ಟ್ ಬೇಹುಗಾರಿಕೆ ಆರೋಪದ ಮೇಲೆ ಗಲ್ಲು ಶಿಕ್ಷೆ ವಿಧಿಸಿತು.	ಭಾರತೀಯ ನೌಕಾಪಡೆಯ ಮಾಜಿ ಅಧಿಕಾರಿ ಜಾಧವ್  ಬೇಹುಗಾರಿಕೆ ಆರೋಪದ ಮೇಲೆ ಪಾಕಿಸ್ತಾನದ ಮಿಲಿಟರಿ ಕೋರ್ಟ್ ಅವರಿಗೆ ಗಲ್ಲು ಶಿಕ್ಷೆ ವಿಧಿಸಿತು.	0
a political fight has broken out between o panneerselvam and sasikala over the post of chief minister.	ಮುಖ್ಯಮಂತ್ರಿಯ ಹುದ್ದೆಗಾಗಿ  ಒ ಪನ್ನೀರ್ ಸೆಲ್ವಂ ಮತ್ತು ಶಶಿಕಲಾ ನಡುವೆ ರಾಜಕೀಯ ಸಂಘರ್ಷವು ಆರಂಭವಾಗಿದೆ.	ಒ ಪನ್ನೀರ್ ಸೆಲ್ವಂ ಮತ್ತು ಶಶಿಕಲಾ ನಡುವೆ  ಮುಖ್ಯಮಂತ್ರಿಯ ಗದ್ದುಗೆಗಾಗಿ ರಾಜಕೀಯ ಸಂಘರ್ಷವು ಮೊದಲಾಗಿದೆ.	1
a political fight has broken out between o panneerselvam and sasikala over the post of chief minister.	ಮುಖ್ಯಮಂತ್ರಿಯ ಹುದ್ದೆಗಾಗಿ  ಒ ಪನ್ನೀರ್ ಸೆಲ್ವಂ ಮತ್ತು ಶಶಿಕಲಾ ನಡುವೆ ರಾಜಕೀಯ ಸಂಘರ್ಷವು ಆರಂಭವಾಗಿದೆ.	ಒ ಪನ್ನೀರ್ ಸೆಲ್ವಂ ಮತ್ತು ಶಶಿಕಲಾ ನಡುವೆ ರಾಜಕೀಯ ಸಂಘರ್ಷವು ಮುಖ್ಯಮಂತ್ರಿಯ ಹುದ್ದೆಗಾಗಿ ಆರಂಭವಾಗಿಲ್ಲ.	0
pati said he joined the bjp after being influenced by the ideology of prime minister narendra modi.	ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ಅವರ ಸಿದ್ಧಾಂತದಿಂದ ಪ್ರಭಾವಿತನಾಗಿ  ತಾನು ಬಿಜೆಪಿ ಸೇರಿದ್ದೇನೆ ಎಂದು ಪತಿ ಹೇಳಿದರು.	ಪತಿ ಹೇಳುವ ಪ್ರಕಾರ ಆತ ಪ್ರಧಾನ ಮಂತ್ರಿ ನರೇಂದ್ರ ಮೋದಿಯವರ ಚಿಂತನೆಗೆ ಮನಸೋತು ಬಿಜೆಪಿ ಸೇರಿದರು	1
pati said he joined the bjp after being influenced by the ideology of prime minister narendra modi.	ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ಅವರ ಸಿದ್ಧಾಂತದಿಂದ ಪ್ರಭಾವಿತನಾಗಿ  ತಾನು ಬಿಜೆಪಿ ಸೇರಿದ್ದೇನೆ ಎಂದು ಪತಿ ಹೇಳಿದರು.	ತಾನು ಬಿಜೆಪಿ ಸೇರಿ ಪತಿ  ಅವರ ಸಿದ್ಧಾಂತದಿಂದ ಪ್ರಭಾವಿತನಾಗಿದ್ದೇನೆ ಎಂದು  ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ  ಹೇಳಿದರು.	0
